Height[m]  Pressure[hPa]  Temperature[°C]  Dewpoint[°C]  Wind direction[°]  Wind speed[m/s]
5280       484.19         -12.11           -19.21        313.9              24.68
5290       483.56         -12.16           -19.20        312.2              25.11
5300       482.94         -12.20           -19.20        310.5              25.55
5310       482.31         -12.24           -19.19        308.9              26.01
5320       481.68         -12.32           -19.24        309.6              26.43
5330       481.05         -12.37           -19.25        309.8              25.91
5340       480.43         -12.41           -19.26        310.3              25.38
5350       479.80         -12.46           -19.27        310.3              24.83
5360       479.18         -12.50           -19.27        310.2              24.42
5370       478.55         -12.55           -19.29        310.5              23.92
5380       477.93         -12.59           -19.30        310.6              23.36
5390       477.31         -12.64           -19.33        310.4              22.86
5400       476.68         -12.66           -19.35        309.9              22.52
5410       476.06         -12.70           -19.40        309.6              22.39
5420       475.44         -12.74           -19.46        308.9              22.22
5430       474.82         -12.80           -19.55        307.6              22.07
5440       474.20         -12.87           -19.63        307.3              22.07
5450       473.58         -12.96           -19.74        307.1              21.99
